Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming
@HendrikWirjana,2,,[],[],
@NaniPancing,Suka liat video pasca pilpres...02🎉,suka lihat video pasca pilpres,"['suka', 'lihat', 'video', 'pasca', 'pilpres']","['suka', 'lihat', 'video', 'pasca', 'pilpres']",suka lihat video pasca pilpres
@BulanMerindu-r1f,Bismillah  Ya Allah  semoga Allah swt    03 1menang  AAamiinn Ya robbal Alamiinn 🎁🎀🎈,bismillah ya allah semoga allah swt 1menang aaamiinn ya robbal alamiinn,"['bismillah', 'ya', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'ya', 'robbal', 'alamiinn']","['bismillah', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'robbal', 'alamiinn']",bismillah allah moga allah swt 1menang aaamiinn robbal alamiinn
@MuhammadSalehBangko548,Daerah Aceh laut biru 25.00,daerah aceh laut biru,"['daerah', 'aceh', 'laut', 'biru']","['daerah', 'aceh', 'laut', 'biru']",daerah aceh laut biru
@MuhammadSalehBangko548,110 laut biru pak,laut biru pak,"['laut', 'biru', 'pak']","['laut', 'biru']",laut biru
@MuhammadSalehBangko548,Dari balikpapan 21.00 laut biru,dari balikpapan laut biru,"['dari', 'balikpapan', 'laut', 'biru']","['balikpapan', 'laut', 'biru']",balikpapan laut biru
@MuhammadSalehBangko548,Masuk lagi laut biru 27.00 jumlahnya,masuk lagi laut biru jumlahnya,"['masuk', 'lagi', 'laut', 'biru', 'jumlahnya']","['masuk', 'laut', 'biru']",masuk laut biru
@MuhammadSalehBangko548,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang,"['kalimantan', 'timur', 'daerah', 'bontang']","['kalimantan', 'timur', 'daerah', 'bontang']",kalimantan timur daerah bontang
@MuhammadSalehBangko548,4822 partai gerindra jumlahnya 57.00,partai gerindra jumlahnya,"['partai', 'gerindra', 'jumlahnya']","['partai', 'gerindra']",partai gerindra
@MuhammadSalehBangko548,Misinya laut biru,misinya laut biru,"['misinya', 'laut', 'biru']","['misinya', 'laut', 'biru']",misi laut biru
@MuhammadSalehBangko548,Bantuan pembangunan bang untuk yg punya lahan bang,bantuan pembangunan abang untuk yang punya lahan abang,"['bantuan', 'pembangunan', 'abang', 'untuk', 'yang', 'punya', 'lahan', 'abang']","['bantuan', 'pembangunan', 'abang', 'lahan', 'abang']",bantu bangun abang lahan abang
