Username,Comment,Stemming,Translated,Sentiment_polarity,Sentiment
@HendrikWirjana,2,,,,negative
@NaniPancing,Suka liat video pasca pilpres...02🎉,suka lihat video pasca pilpres,like to see the postpres post -presidential election video,0.0,neutral
@BulanMerindu-r1f,Bismillah  Ya Allah  semoga Allah swt    03 1menang  AAamiinn Ya robbal Alamiinn 🎁🎀🎈,bismillah allah moga allah swt 1menang aaamiinn robbal alamiinn,"Bismillah Allah, I hope Allah SWT 1 AAAMIINN ROBBAL NATURALINNNNNN",0.0,neutral
@MuhammadSalehBangko548,Daerah Aceh laut biru 25.00,daerah aceh laut biru,Aceh Sea Biru Region,0.0,neutral
@MuhammadSalehBangko548,110 laut biru pak,laut biru,Blue Sea,0.0,neutral
@MuhammadSalehBangko548,Dari balikpapan 21.00 laut biru,balikpapan laut biru,Balikpapan Blue Sea,0.0,neutral
@MuhammadSalehBangko548,Masuk lagi laut biru 27.00 jumlahnya,masuk laut biru,enter the blue sea,0.0,neutral
@MuhammadSalehBangko548,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang,East Kalimantan Bontang Area,0.0,neutral
@MuhammadSalehBangko548,4822 partai gerindra jumlahnya 57.00,partai gerindra,Gerindra Party,0.0,neutral
@MuhammadSalehBangko548,Misinya laut biru,misi laut biru,Blue Sea Mission,0.0,neutral
@MuhammadSalehBangko548,Bantuan pembangunan bang untuk yg punya lahan bang,bantu bangun abang lahan abang,Help wake up brother,0.0,neutral
@wisyoyoyo4276,Sedihg 16,sedihg,sad,-0.5,negative
@yopinacantik3756,Berarti belum keluar anggota DPR-RI terbanyak,anggota dprri,DPRRI Member,0.0,neutral
@yopinacantik3756,Koalisi terbanyak,koalisi,coalition,0.0,neutral
@RagatOke2015,Anies Baswedan caimin menang,anies baswedan caimin menang,Anies Baswedan Caimin Wins,0.3,positive
@Maisarah-p3i,Alhmdulillah alhmdulillah ya allah amiiin.,alhmdulillah alhmdulillah allah amin,Alhmdulillah alhmdulillah Allah amin,0.0,neutral
@hartaman6995,Memang 01 angkuh  dan haus jabatan dari bahasanya,angkuh haus jabat bahasa,The haunting of the language of the language,0.0,neutral
@hrnet790,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",quick count bohong publik hasil kpu maret bohong quick count pakai akal waras,Quick Count Public Lying March March Results Lyick Count Using Wane Reason,0.16666666666666666,positive
@denmet-g4f,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,matap mat,matap,0.0,neutral
@assyifa8165,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,alhamdulillah gusti prabowo unggul putar,Alhamdulillah Gusti Prabowo is superior,0.7,positive
@boynatamegelli7258,"Bagi presiden selanjutnya ,tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah air,sangat meresahkan keamanan negeri ini rapuh ,serapuh pondasi negeri yang banyak digerogoti koruptor",presiden tolong keman negeri baik anak kosong rusak satu suka tumpah darah saudara tanah airsangat resah aman negeri rapuh rapuh pondasi negeri gerogot koruptor,"the president please keep the country both empty children damaged one likes to spill the blood of your brothers and land, very restless, the fragile country",0.03333333333333333,positive
@RuhSejati-r4b,Yg sombong pasti akan tumbang....,sombong tumbang,arrogant to fall,0.0,neutral
@Nurhayati-zt9bv,"Tuh PDIP menang Gerindra tdk protes curang , soalnya legowo  , menerima kekalahan , dasar dari PDIPnya hatinya busuk terhadap Gerindra tdk boleh Gerindra menang , nanti kalau Gerindra menang pasti deh di bilang curang .Berarti tdk punya jiwa kenegarawan bagi PDIP sebab menuduh curang dan tdk legowo menerima kekalahan",tuh pdip menang gerindra protes curang legowo terima kalah dasar pdipnya hati busuk gerindra gerindra menang gerindra menang deh bilang curang jiwa kenegarawan pdip tuduh curang legowo terima kalah,"Tuh PDIP won Gerindra Protest Cheating Legowo Received Losing the basis of PDIP, Gerindra Gerindra's rotten heart won Gerindra won, saying the cheating of the soul of the PDIP Kengarawan accused Legowo to receive losing",0.0,neutral
@RisyanaPutriBalkis,Wakulja alhakku wahazakal batil innal batila kanazahika.,wakulja alhakku wahazakal batil innal batila kanazahika,Hakca Alhakku Wahazaral Wahazaral Batila Kazahika,0.0,neutral
@ErnaWahyuningsihErna,Sirekap alibaba,sirekap alibaba,Sirekap Alibaba,0.0,neutral
@ogan8881,"Yang gawal dan melihat orang nya kebanyakanabok  hasil kalah berkoar-koar  di mana  ente di TPS ,apa dirimah  janda",gawal orang kebanyakanabok hasil kalah berkoarkoar ente tps dirimah janda,Gawal Most People The results of losing to boarding your TPS diimah widow,0.5,positive
@ogan8881,Mana yang gawal sakit ya ohno,gawal sakit ohno,Gawal hurts Ohno,0.0,neutral
@AmirulMuslimin-s7g,"Maaf parah politisi jangan sekali kali mengotorkan raknyat Indonesia ,yg kalah jangan mengadodomba raknyat yg kalah tulah yg tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yg kalah karena kotor otaknya harus dicuci pakai oil",maaf parah politis kali kotor raknyat indonesia kalah mengadodomba raknyat kalah tulah puas pakai otak kotor mahasiswa guru elit politik kalah kotor otak cuci pakai oil,"Sorry, politically dirty times, Raknyat Indonesia loses to adodicate raknyat to lose satisfied with the dirty brain of political elite teachers less dirty brainwash",-0.2833333333333333,negative
@EDISONMANUKOY-ge8uc,Ko gak mau ngaku kalah😂😂😂😂😂😂😂😮😮😮,aku kalah,I lose,0.0,neutral
@Tahrim-h5l,masi bertobatlah masi bertobatlah mana ni suaranya 01 03 masi blom puas dgn kekalahanya salam ✌️😊,tobat tobat nih suara puas kekalahanya salam,repent repentance this is a satisfied voice,0.5,positive
@BONAJAYAcom,"Kalau bicara bersih dari ke tiga  paslon tidak ada yg bersih boss.... Tim sukses nya masing&quot; paslon Selalu dengan politik uang,, akui saja memang 02 juara nya,<br>Nex jgn merendahkan mempermalukan lawan di muka umum,, ingat ingat rakyat sdh cerdas,,",bicara bersih paslon bersih bos tim sukses paslon politik uang aku juara nyanex rendah malu lawan muka rakyat cerdas,Talk Clean Paslon Clean Boss Success Team Paslon Money Politics I Champion Low Nyanex Shame Opplighted People's Intelligent People,0.3666666666666667,positive
@arifismono7401,Ngecebeeeek  dihitung dengan partsi besar dicaptes  no 2 aja uda unggul maas 😂😂😂🎉,ngecebeeeek hitung partsi dicaptes no unggul maas,Ngecebeeeek Calculates Partsi Dipraptes No Unggul Maas,0.0,neutral
@mcjayawicara4422,"Alhamdulillah ,, Allah menyelamatkan NKRI dari org2 arogan picik oengecut yg tak ngaku kekalahannya. Dan berlindung dgn atas nama rakyat, an Demokrasi, .<br>Ya Allah imhamba beraerah diri dihadapan kekuasaanmu",alhamdulillah allah selamat nkri arogan picik oengecut aku kalah lindung nama rakyat an demokrasi allah imhamba beraerah hadap kuasa,"Alhamdulillah, Allah, congratulations, the arrogant of the picked arrogant, I lose the name of the people of God's democracy",0.0,neutral
@HpVivoY02-p1f,Siapa pun yg jd presiden tdk akan ngaruh bagi saya,presiden ngaruh,President Ngarf,0.0,neutral
@AbiCinta-v6e,❤❤❤❤ Prabowo gibran,prabowo gibran,Prabowo Gibran,0.0,neutral
@IksanIsmail-lm5td,1 cocok yg jdi presiden.,cocok presiden,Suitable President,0.55,positive
