Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming,Translated
@HendrikWirjana,2,,[],[],,
@NaniPancing,Suka liat video pasca pilpres...02🎉,suka lihat video pasca pilpres,"['suka', 'lihat', 'video', 'pasca', 'pilpres']","['suka', 'lihat', 'video', 'pasca', 'pilpres']",suka lihat video pasca pilpres,like to see the postpres post -presidential election video
@BulanMerindu-r1f,Bismillah  Ya Allah  semoga Allah swt    03 1menang  AAamiinn Ya robbal Alamiinn 🎁🎀🎈,bismillah ya allah semoga allah swt 1menang aaamiinn ya robbal alamiinn,"['bismillah', 'ya', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'ya', 'robbal', 'alamiinn']","['bismillah', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'robbal', 'alamiinn']",bismillah allah moga allah swt 1menang aaamiinn robbal alamiinn,"Bismillah Allah, I hope Allah SWT 1 AAAMIINN ROBBAL NATURALINNNNNN"
@MuhammadSalehBangko548,Daerah Aceh laut biru 25.00,daerah aceh laut biru,"['daerah', 'aceh', 'laut', 'biru']","['daerah', 'aceh', 'laut', 'biru']",daerah aceh laut biru,Aceh Sea Biru Region
@MuhammadSalehBangko548,110 laut biru pak,laut biru pak,"['laut', 'biru', 'pak']","['laut', 'biru']",laut biru,Blue Sea
@MuhammadSalehBangko548,Dari balikpapan 21.00 laut biru,dari balikpapan laut biru,"['dari', 'balikpapan', 'laut', 'biru']","['balikpapan', 'laut', 'biru']",balikpapan laut biru,Balikpapan Blue Sea
@MuhammadSalehBangko548,Masuk lagi laut biru 27.00 jumlahnya,masuk lagi laut biru jumlahnya,"['masuk', 'lagi', 'laut', 'biru', 'jumlahnya']","['masuk', 'laut', 'biru']",masuk laut biru,enter the blue sea
@MuhammadSalehBangko548,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang,"['kalimantan', 'timur', 'daerah', 'bontang']","['kalimantan', 'timur', 'daerah', 'bontang']",kalimantan timur daerah bontang,East Kalimantan Bontang Area
@MuhammadSalehBangko548,4822 partai gerindra jumlahnya 57.00,partai gerindra jumlahnya,"['partai', 'gerindra', 'jumlahnya']","['partai', 'gerindra']",partai gerindra,Gerindra Party
@MuhammadSalehBangko548,Misinya laut biru,misinya laut biru,"['misinya', 'laut', 'biru']","['misinya', 'laut', 'biru']",misi laut biru,Blue Sea Mission
@MuhammadSalehBangko548,Bantuan pembangunan bang untuk yg punya lahan bang,bantuan pembangunan abang untuk yang punya lahan abang,"['bantuan', 'pembangunan', 'abang', 'untuk', 'yang', 'punya', 'lahan', 'abang']","['bantuan', 'pembangunan', 'abang', 'lahan', 'abang']",bantu bangun abang lahan abang,Help wake up brother
@wisyoyoyo4276,Sedihg 16,sedihg,['sedihg'],['sedihg'],sedihg,sad
@yopinacantik3756,Berarti belum keluar anggota DPR-RI terbanyak,berarti belum keluar anggota dprri terbanyak,"['berarti', 'belum', 'keluar', 'anggota', 'dprri', 'terbanyak']","['anggota', 'dprri']",anggota dprri,DPRRI Member
@yopinacantik3756,Koalisi terbanyak,koalisi terbanyak,"['koalisi', 'terbanyak']",['koalisi'],koalisi,coalition
@RagatOke2015,Anies Baswedan caimin menang,anies baswedan caimin menang,"['anies', 'baswedan', 'caimin', 'menang']","['anies', 'baswedan', 'caimin', 'menang']",anies baswedan caimin menang,Anies Baswedan Caimin Wins
@Maisarah-p3i,Alhmdulillah alhmdulillah ya allah amiiin.,alhmdulillah alhmdulillah ya allah amin,"['alhmdulillah', 'alhmdulillah', 'ya', 'allah', 'amin']","['alhmdulillah', 'alhmdulillah', 'allah', 'amin']",alhmdulillah alhmdulillah allah amin,Alhmdulillah alhmdulillah Allah amin
@hartaman6995,Memang 01 angkuh  dan haus jabatan dari bahasanya,memang angkuh dan haus jabatan dari bahasanya,"['memang', 'angkuh', 'dan', 'haus', 'jabatan', 'dari', 'bahasanya']","['angkuh', 'haus', 'jabatan', 'bahasanya']",angkuh haus jabat bahasa,The haunting of the language of the language
@hrnet790,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",quick count pembohongan publik yang benar hasil kpu maret jangan mau di bohongi quick count pakai akal waras,"['quick', 'count', 'pembohongan', 'publik', 'yang', 'benar', 'hasil', 'kpu', 'maret', 'jangan', 'mau', 'di', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']","['quick', 'count', 'pembohongan', 'publik', 'hasil', 'kpu', 'maret', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']",quick count bohong publik hasil kpu maret bohong quick count pakai akal waras,Quick Count Public Lying March March Results Lyick Count Using Wane Reason
@denmet-g4f,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,matap mat terus,"['matap', 'mat', 'terus']","['matap', 'mat']",matap mat,matap
@assyifa8165,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,alhamdulillah gusti pak prabowo unggul putaran,"['alhamdulillah', 'gusti', 'pak', 'prabowo', 'unggul', 'putaran']","['alhamdulillah', 'gusti', 'prabowo', 'unggul', 'putaran']",alhamdulillah gusti prabowo unggul putar,Alhamdulillah Gusti Prabowo is superior
@boynatamegelli7258,"Bagi presiden selanjutnya ,tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah air,sangat meresahkan keamanan negeri ini rapuh ,serapuh pondasi negeri yang banyak digerogoti koruptor",bagi presiden selanjutnya tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah airsangat meresahkan keamanan negeri ini rapuh serapuh pondasi negeri yang banyak digerogoti koruptor,"['bagi', 'presiden', 'selanjutnya', 'tolong', 'kemanan', 'negeri', 'ini', 'lebih', 'diperbaiki', 'karena', 'banyak', 'anak', 'kosong', 'yang', 'merusak', 'kesatuan', 'yang', 'suka', 'menumpah', 'darahkan', 'saudaranya', 'setanah', 'airsangat', 'meresahkan', 'keamanan', 'negeri', 'ini', 'rapuh', 'serapuh', 'pondasi', 'negeri', 'yang', 'banyak', 'digerogoti', 'koruptor']","['presiden', 'tolong', 'kemanan', 'negeri', 'diperbaiki', 'anak', 'kosong', 'merusak', 'kesatuan', 'suka', 'menumpah', 'darahkan', 'saudaranya', 'setanah', 'airsangat', 'meresahkan', 'keamanan', 'negeri', 'rapuh', 'serapuh', 'pondasi', 'negeri', 'digerogoti', 'koruptor']",presiden tolong keman negeri baik anak kosong rusak satu suka tumpah darah saudara tanah airsangat resah aman negeri rapuh rapuh pondasi negeri gerogot koruptor,"the president please keep the country both empty children damaged one likes to spill the blood of your brothers and land, very restless, the fragile country"
@RuhSejati-r4b,Yg sombong pasti akan tumbang....,yang sombong pasti akan tumbang,"['yang', 'sombong', 'pasti', 'akan', 'tumbang']","['sombong', 'tumbang']",sombong tumbang,arrogant to fall
@Nurhayati-zt9bv,"Tuh PDIP menang Gerindra tdk protes curang , soalnya legowo  , menerima kekalahan , dasar dari PDIPnya hatinya busuk terhadap Gerindra tdk boleh Gerindra menang , nanti kalau Gerindra menang pasti deh di bilang curang .Berarti tdk punya jiwa kenegarawan bagi PDIP sebab menuduh curang dan tdk legowo menerima kekalahan",tuh pdip menang gerindra tidak protes curang soalnya legowo menerima kekalahan dasar dari pdipnya hatinya busuk terhadap gerindra tidak boleh gerindra menang nanti kalau gerindra menang pasti deh di bilang curang berarti tidak punya jiwa kenegarawan bagi pdip sebab menuduh curang dan tidak legowo menerima kekalahan,"['tuh', 'pdip', 'menang', 'gerindra', 'tidak', 'protes', 'curang', 'soalnya', 'legowo', 'menerima', 'kekalahan', 'dasar', 'dari', 'pdipnya', 'hatinya', 'busuk', 'terhadap', 'gerindra', 'tidak', 'boleh', 'gerindra', 'menang', 'nanti', 'kalau', 'gerindra', 'menang', 'pasti', 'deh', 'di', 'bilang', 'curang', 'berarti', 'tidak', 'punya', 'jiwa', 'kenegarawan', 'bagi', 'pdip', 'sebab', 'menuduh', 'curang', 'dan', 'tidak', 'legowo', 'menerima', 'kekalahan']","['tuh', 'pdip', 'menang', 'gerindra', 'protes', 'curang', 'legowo', 'menerima', 'kekalahan', 'dasar', 'pdipnya', 'hatinya', 'busuk', 'gerindra', 'gerindra', 'menang', 'gerindra', 'menang', 'deh', 'bilang', 'curang', 'jiwa', 'kenegarawan', 'pdip', 'menuduh', 'curang', 'legowo', 'menerima', 'kekalahan']",tuh pdip menang gerindra protes curang legowo terima kalah dasar pdipnya hati busuk gerindra gerindra menang gerindra menang deh bilang curang jiwa kenegarawan pdip tuduh curang legowo terima kalah,"Tuh PDIP won Gerindra Protest Cheating Legowo Received Losing the basis of PDIP, Gerindra Gerindra's rotten heart won Gerindra won, saying the cheating of the soul of the PDIP Kengarawan accused Legowo to receive losing"
@RisyanaPutriBalkis,Wakulja alhakku wahazakal batil innal batila kanazahika.,wakulja alhakku wahazakal batil innal batila kanazahika,"['wakulja', 'alhakku', 'wahazakal', 'batil', 'innal', 'batila', 'kanazahika']","['wakulja', 'alhakku', 'wahazakal', 'batil', 'innal', 'batila', 'kanazahika']",wakulja alhakku wahazakal batil innal batila kanazahika,Hakca Alhakku Wahazaral Wahazaral Batila Kazahika
